DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2012,33,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2013,31,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2014,33,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2015,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2016,39,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2017,38,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2018,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2019,35,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2020,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2021,35,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AL,2022,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2012,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2013,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2014,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2015,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2016,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2017,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2018,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2019,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2020,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2021,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,AT,2022,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2012,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2013,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2014,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2015,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2016,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2017,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2018,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2019,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2020,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2021,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BE,2022,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2012,41,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2013,41,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2014,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2015,41,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2016,41,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2017,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2018,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2019,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2020,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2021,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,BG,2022,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2012,86,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2013,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2014,86,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2015,86,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2016,86,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2017,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2018,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2019,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2020,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2021,84,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CH,2022,82,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2012,66,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2013,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2014,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2015,61,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2016,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2017,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2018,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2019,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2020,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2021,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CY,2022,52,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2012,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2013,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2014,51,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2015,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2016,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2017,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2018,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2019,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2020,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2021,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,CZ,2022,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2012,79,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2013,78,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2014,79,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2015,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2016,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2017,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2018,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2019,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2020,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2021,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DE,2022,79,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2012,90,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2013,91,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2014,92,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2015,91,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2016,90,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2017,88,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2018,88,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2019,87,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2020,88,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2021,88,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,DK,2022,90,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2012,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2013,68,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2014,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2015,70,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2016,70,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2017,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2018,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2019,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2020,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2021,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2022,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2012,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2013,40,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2014,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2015,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2016,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2017,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2018,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2019,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2020,50,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2021,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2022,52,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2012,65,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2013,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2014,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2015,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2016,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2017,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2018,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2019,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2020,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2021,61,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2022,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2012,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2013,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2014,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2015,65,
